Year,Month,Day,Region,Industrial_Index,CO2,Deforestation,AQI
2014,1,1,Punjab,84.5,322.0,1.28,214.0
2014,1,1,Sindh,122.5,420.9,2.07,110.0
2014,1,2,Punjab,99.8,363.5,1.36,228.0
2014,1,2,Sindh,119.3,416.3,2.07,111.0
2014,1,3,Punjab,96.2,339.0,1.32,203.0
2014,1,3,Sindh,123.3,464.0,2.1,115.0
2014,1,4,Punjab,101.3,402.4,1.29,230.0
2014,1,4,Sindh,127.7,425.5,2.15,121.0
2014,1,5,Punjab,100.4,393.7,1.31,232.0
2014,1,5,Sindh,118.9,388.3,2.1,103.0
2014,1,6,Punjab,91.8,369.9,1.3,221.0
2014,1,6,Sindh,118.9,427.9,2.1,114.0
2014,1,7,Punjab,94.6,340.1,1.38,232.0
2014,1,7,Sindh,128.0,437.8,2.07,112.0
2014,1,8,Punjab,91.1,382.9,1.31,234.0
2014,1,8,Sindh,123.9,429.0,2.12,107.0
2014,1,9,Punjab,93.5,320.5,1.3,204.0
2014,1,9,Sindh,117.8,400.5,2.12,104.0
2014,1,10,Punjab,87.5,346.7,1.29,216.0
2014,1,10,Sindh,122.9,426.1,2.12,114.0
2014,1,11,Punjab,98.4,335.7,1.35,213.0
2014,1,11,Sindh,117.8,436.4,2.09,119.0
2014,1,12,Punjab,103.9,379.0,1.34,230.0
2014,1,12,Sindh,117.9,424.5,2.09,113.0
2014,1,13,Punjab,88.8,368.6,1.29,218.0
2014,1,13,Sindh,121.4,437.9,2.08,117.0
2014,1,14,Punjab,105.6,417.9,1.25,237.0
2014,1,14,Sindh,110.7,366.0,2.1,96.0
2014,1,15,Punjab,96.3,355.0,1.26,231.0
2014,1,15,Sindh,111.6,373.4,2.08,102.0
2014,1,16,Punjab,97.3,359.5,1.3,227.0
2014,1,16,Sindh,117.4,368.5,2.08,106.0
2014,1,17,Punjab,81.9,313.0,1.37,208.0
2014,1,17,Sindh,115.2,391.1,2.09,108.0
2014,1,18,Punjab,81.0,318.2,1.29,210.0
2014,1,18,Sindh,121.9,440.9,2.09,121.0
2014,1,19,Punjab,96.7,392.3,1.28,235.0
2014,1,19,Sindh,115.8,413.0,2.09,112.0
2014,1,20,Punjab,101.9,377.9,1.22,227.0
2014,1,20,Sindh,113.3,393.1,2.11,98.0
2014,1,21,Punjab,90.2,310.5,1.38,213.0
2014,1,21,Sindh,127.7,446.5,2.1,114.0
2014,1,22,Punjab,109.0,417.2,1.34,249.0
2014,1,22,Sindh,119.2,407.0,2.1,111.0
2014,1,23,Punjab,101.5,376.6,1.35,215.0
2014,1,23,Sindh,120.7,425.6,2.11,114.0
2014,1,24,Punjab,88.4,309.9,1.36,205.0
2014,1,24,Sindh,113.3,408.0,2.08,111.0
2014,1,25,Punjab,95.9,370.5,1.3,212.0
2014,1,25,Sindh,117.7,387.7,2.11,113.0
2014,1,26,Punjab,115.5,434.8,1.31,256.0
2014,1,26,Sindh,121.0,428.0,2.11,118.0
2014,1,27,Punjab,85.8,332.3,1.38,222.0
2014,1,27,Sindh,114.7,415.5,2.07,118.0
2014,1,28,Punjab,100.0,362.2,1.32,217.0
2014,1,28,Sindh,122.4,422.1,2.12,114.0
2014,1,29,Punjab,93.2,364.1,1.34,223.0
2014,1,29,Sindh,117.5,421.8,2.09,109.0
2014,1,30,Punjab,101.5,359.4,1.35,201.0
2014,1,30,Sindh,119.1,459.0,2.11,123.0
2014,1,31,Punjab,106.0,386.4,1.34,240.0
2014,1,31,Sindh,117.5,409.8,2.13,107.0
2014,2,1,Punjab,92.8,347.9,1.3,223.0
2014,2,1,Sindh,129.8,460.3,2.12,132.0
2014,2,2,Punjab,104.9,433.5,1.31,257.0
2014,2,2,Sindh,120.5,410.8,2.11,115.0
2014,2,3,Punjab,113.8,448.0,1.35,266.0
2014,2,3,Sindh,115.3,406.3,2.1,113.0
2014,2,4,Punjab,96.6,388.5,1.35,217.0
2014,2,4,Sindh,124.7,443.5,2.12,126.0
2014,2,5,Punjab,102.3,417.2,1.37,248.0
2014,2,5,Sindh,114.5,403.8,2.12,100.0
2014,2,6,Punjab,91.4,419.3,1.34,254.0
2014,2,6,Sindh,121.7,410.7,2.09,115.0
2014,2,7,Punjab,96.3,366.7,1.34,205.0
2014,2,7,Sindh,110.9,391.2,2.09,100.0
2014,2,8,Punjab,94.7,388.4,1.29,224.0
2014,2,8,Sindh,114.1,421.2,2.06,114.0
2014,2,9,Punjab,102.6,410.0,1.28,229.0
2014,2,9,Sindh,121.7,432.7,2.11,116.0
2014,2,10,Punjab,105.9,422.2,1.35,246.0
2014,2,10,Sindh,124.4,450.0,2.1,126.0
2014,2,11,Punjab,95.4,397.9,1.29,204.0
2014,2,11,Sindh,121.6,422.2,2.13,117.0
2014,2,12,Punjab,108.6,404.1,1.31,247.0
2014,2,12,Sindh,120.2,432.0,2.11,125.0
2014,2,13,Punjab,108.6,402.6,1.38,228.0
2014,2,13,Sindh,119.3,421.8,2.13,113.0
2014,2,14,Punjab,103.1,398.3,1.38,236.0
2014,2,14,Sindh,113.4,382.8,2.09,110.0
2014,2,15,Punjab,92.3,347.0,1.33,207.0
2014,2,15,Sindh,117.3,415.2,2.13,116.0
2014,2,16,Punjab,91.5,354.2,1.3,214.0
2014,2,16,Sindh,118.6,400.1,2.1,103.0
2014,2,17,Punjab,90.0,373.1,1.31,191.0
2014,2,17,Sindh,126.2,432.2,2.12,115.0
2014,2,18,Punjab,104.1,386.0,1.36,215.0
2014,2,18,Sindh,122.6,432.1,2.08,118.0
2014,2,19,Punjab,86.8,323.9,1.32,204.0
2014,2,19,Sindh,112.1,396.9,2.11,116.0
